CD44,TOP2A,SAMSN1,RBM47,CORO1A,ZC3HAV1,HLAA,group
7.433903173,5.542112894,6.74474795,6.953193974,7.629712645,5.410060912,12.65638192,1
6.070847335,4.281550509,4.097045133,5.999951644,5.832796638,3.855933442,10.99238292,0
8.757297711,5.794230193,7.413215131,7.567330885,8.158865749,6.920993663,11.15509906,1
6.494718597,5.063491095,5.306289927,5.944675886,7.497895274,4.230774588,11.07061463,0
7.004269759,5.562862018,5.570916922,6.496988666,6.204994117,4.322690103,10.66046037,0
8.144585476,6.011906271,7.824655459,8.045035928,7.862763218,5.414649184,12.48763487,1
7.503368966,5.59475926,5.888123136,6.44872788,6.522179027,4.363394277,10.54217817,0
8.672566822,6.494880689,8.239531044,8.133000872,8.596999073,6.339852307,13.04869383,1
6.495459921,5.188992452,4.859780702,5.349985568,6.017603776,4.155721486,11.23668995,0
6.719811944,4.932319377,5.686316505,5.903049878,7.161028886,4.464984428,11.109419,0
7.464645153,5.21384212,3.938443798,5.231162556,6.01672642,4.348611568,10.69322929,0
7.31152787,5.237977577,6.004671873,6.274937165,7.486585269,4.703808806,12.06269853,0
7.971341069,7.701222259,7.222323441,7.831277464,8.296019104,5.391506809,12.4615191,1
6.346161293,5.256842183,5.837740507,6.310209856,7.65932386,5.027305445,11.78597737,0
8.592304543,7.70663116,7.297112959,7.727535063,9.345355205,6.334459943,12.60908925,1
8.721390992,6.37546033,8.717220942,8.499645688,9.220211797,6.385497768,12.80650793,1
8.420304264,5.984262157,7.853892316,8.300966433,8.520634774,5.82134252,12.71332599,1
8.08636514,5.185220831,6.939975223,6.018809356,8.884895309,5.327294191,11.81140422,1
4.902987743,4.558774732,3.649080628,4.553343832,6.175580809,3.774991374,10.40830388,0
4.898506041,4.634712594,3.421033222,5.797626839,6.728831984,3.854565788,8.944046676,0
6.074814689,4.251580605,5.683003558,6.318319817,6.90204843,4.931977869,11.61181167,1
8.412162067,7.086166795,7.455304425,7.917728569,9.013274185,5.950358164,12.51920129,1
5.679631698,4.505243579,5.588932255,5.827337026,6.750575296,4.1632495,11.22535004,0
6.972775405,5.742653826,5.665618507,5.787223312,7.128681462,4.641307806,12.2366953,1
8.443053644,6.27083483,7.387218286,7.962020967,8.945405263,6.709918736,11.64705767,0
6.641419515,5.061881083,4.953140615,5.969332063,6.42732405,4.396943103,10.36015249,0
6.374020928,5.586759346,6.520279596,6.270553058,7.301916788,5.220099313,12.69156902,1
5.635651995,4.38340957,3.815668116,4.587563417,6.36806603,4.221257357,10.57791877,0
7.389113789,4.803110513,6.66778791,6.998215221,7.566071083,5.294360046,11.97310806,1
8.366813684,6.726671977,7.134049391,7.68450398,7.794607127,5.590357118,11.86072164,1
6.598544485,4.362398556,5.198718872,5.988014154,7.260023386,4.45829796,11.20758307,0
6.380490798,4.732730141,5.152903948,5.810930721,7.206003,4.616222192,11.22403542,0
